# HTL photon self-energy
# o/T, Re(Pi_L),  Im(Pi_L),  Re(Pi_T),  Im(Pi_T)
0.00000, 1.00000, 0.00000, 0.00000, -0.00000
0.01500, 0.99977, 0.02356, 0.00045, -0.02356
0.03000, 0.99910, 0.04712, 0.00180, -0.04708
0.04500, 0.99797, 0.07069, 0.00405, -0.07054
0.06000, 0.99640, 0.09425, 0.00719, -0.09391
0.07500, 0.99436, 0.11781, 0.01123, -0.11715
0.09000, 0.99188, 0.14137, 0.01616, -0.14023
0.10500, 0.98893, 0.16493, 0.02197, -0.16312
0.12000, 0.98553, 0.18850, 0.02866, -0.18578
0.13500, 0.98166, 0.21206, 0.03623, -0.20819
0.15000, 0.97733, 0.23562, 0.04466, -0.23032
0.16500, 0.97252, 0.25918, 0.05395, -0.25213
0.18000, 0.96724, 0.28274, 0.06410, -0.27358
0.19500, 0.96148, 0.30631, 0.07508, -0.29466
0.21000, 0.95523, 0.32987, 0.08689, -0.31532
0.22500, 0.94849, 0.35343, 0.09952, -0.33554
0.24000, 0.94125, 0.37699, 0.11296, -0.35528
0.25500, 0.93351, 0.40055, 0.12719, -0.37451
0.27000, 0.92525, 0.42412, 0.14220, -0.39320
0.28500, 0.91646, 0.44768, 0.15798, -0.41131
0.30000, 0.90714, 0.47124, 0.17450, -0.42883
0.31500, 0.89728, 0.49480, 0.19175, -0.44570
0.33000, 0.88687, 0.51836, 0.20971, -0.46191
0.34500, 0.87588, 0.54192, 0.22837, -0.47742
0.36000, 0.86432, 0.56549, 0.24769, -0.49220
0.37500, 0.85216, 0.58905, 0.26767, -0.50621
0.39000, 0.83940, 0.61261, 0.28827, -0.51943
0.40500, 0.82601, 0.63617, 0.30948, -0.53182
0.42000, 0.81197, 0.65973, 0.33126, -0.54336
0.43500, 0.79727, 0.68330, 0.35359, -0.55400
0.45000, 0.78188, 0.70686, 0.37645, -0.56372
0.46500, 0.76579, 0.73042, 0.39979, -0.57249
0.48000, 0.74897, 0.75398, 0.42359, -0.58026
0.49500, 0.73138, 0.77754, 0.44782, -0.58703
0.51000, 0.71301, 0.80111, 0.47245, -0.59274
0.52500, 0.69381, 0.82467, 0.49742, -0.59737
0.54000, 0.67376, 0.84823, 0.52271, -0.60089
0.55500, 0.65280, 0.87179, 0.54828, -0.60326
0.57000, 0.63091, 0.89535, 0.57407, -0.60445
0.58500, 0.60803, 0.91892, 0.60005, -0.60444
0.60000, 0.58411, 0.94248, 0.62617, -0.60319
0.61500, 0.55909, 0.96604, 0.65237, -0.60066
0.63000, 0.53291, 0.98960, 0.67860, -0.59683
0.64500, 0.50549, 1.01316, 0.70481, -0.59166
0.66000, 0.47674, 1.03673, 0.73093, -0.58513
0.67500, 0.44659, 1.06029, 0.75689, -0.57719
0.69000, 0.41491, 1.08385, 0.78263, -0.56783
0.70500, 0.38159, 1.10741, 0.80807, -0.55700
0.72000, 0.34650, 1.13097, 0.83313, -0.54468
0.73500, 0.30946, 1.15454, 0.85772, -0.53083
0.75000, 0.27028, 1.17810, 0.88175, -0.51542
0.76500, 0.22876, 1.20166, 0.90512, -0.49842
0.78000, 0.18461, 1.22522, 0.92771, -0.47980
0.79500, 0.13752, 1.24878, 0.94939, -0.45952
0.81000, 0.08711, 1.27235, 0.97004, -0.43756
0.82500, 0.03287, 1.29591, 0.98950, -0.41388
0.84000, -0.02579, 1.31947, 1.00759, -0.38845
0.85500, -0.08966, 1.34303, 1.02412, -0.36124
0.87000, -0.15978, 1.36659, 1.03884, -0.33222
0.88500, -0.23756, 1.39015, 1.05150, -0.30135
0.90000, -0.32500, 1.41372, 1.06175, -0.26861
0.91500, -0.42503, 1.43728, 1.06918, -0.23395
0.93000, -0.54230, 1.46084, 1.07327, -0.19736
0.94500, -0.68479, 1.48440, 1.07325, -0.15879
0.96000, -0.86807, 1.50796, 1.06806, -0.11822
0.97500, -1.13011, 1.53153, 1.05580, -0.07562
0.99000, -1.62019, 1.55509, 1.03224, -0.03095
1.00500, -2.01197, -0.00000, 0.97983, -0.00000
1.02000, -1.35371, -0.00000, 0.94531, -0.00000
1.03500, -1.10255, -0.00000, 0.92147, -0.00000
1.05000, -0.94963, -0.00000, 0.90266, -0.00000
1.06500, -0.84165, -0.00000, 0.88703, -0.00000
1.08000, -0.75937, -0.00000, 0.87364, -0.00000
1.09500, -0.69365, -0.00000, 0.86195, -0.00000
1.11000, -0.63945, -0.00000, 0.85158, -0.00000
1.12500, -0.59368, -0.00000, 0.84230, -0.00000
1.14000, -0.55434, -0.00000, 0.83392, -0.00000
1.15500, -0.52005, -0.00000, 0.82629, -0.00000
1.17000, -0.48981, -0.00000, 0.81931, -0.00000
1.18500, -0.46289, -0.00000, 0.81289, -0.00000
1.20000, -0.43874, -0.00000, 0.80696, -0.00000
1.21500, -0.41691, -0.00000, 0.80145, -0.00000
1.23000, -0.39708, -0.00000, 0.79634, -0.00000
1.24500, -0.37896, -0.00000, 0.79156, -0.00000
1.26000, -0.36234, -0.00000, 0.78709, -0.00000
1.27500, -0.34701, -0.00000, 0.78290, -0.00000
1.29000, -0.33284, -0.00000, 0.77896, -0.00000
1.30500, -0.31970, -0.00000, 0.77524, -0.00000
1.32000, -0.30746, -0.00000, 0.77174, -0.00000
1.33500, -0.29604, -0.00000, 0.76843, -0.00000
1.35000, -0.28536, -0.00000, 0.76529, -0.00000
1.36500, -0.27534, -0.00000, 0.76232, -0.00000
1.38000, -0.26593, -0.00000, 0.75949, -0.00000
1.39500, -0.25707, -0.00000, 0.75680, -0.00000
1.41000, -0.24871, -0.00000, 0.75425, -0.00000
1.42500, -0.24082, -0.00000, 0.75181, -0.00000
1.44000, -0.23334, -0.00000, 0.74948, -0.00000
1.45500, -0.22626, -0.00000, 0.74726, -0.00000
1.47000, -0.21954, -0.00000, 0.74513, -0.00000
1.48500, -0.21316, -0.00000, 0.74310, -0.00000
